cell,arc,metric,transition_type,slew_ns,load_pf,ref0_value_ns,ref1_value_ns,delta_ns,percent_diff
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.187862,0.310809,0.58123,0.270421,87.0056
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.192,0.313056,0.583909,0.270853,86.519
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.19531,0.314849,0.585993,0.271145,86.1192
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.202759,0.318882,0.590684,0.271802,85.2359
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.210207,0.322915,0.595374,0.272459,84.3747
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.217655,0.326948,0.600064,0.273115,83.5348
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.225103,0.330982,0.604754,0.273772,82.7153
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.232552,0.335015,0.609444,0.274429,81.9155
sg13g2_IOPadIn,pad->p2c,delay,fall,0.12,0.24,0.339048,0.614134,0.275086,81.1348
sg13g2_IOPadIn,pad->p2c,slew,rise,0.12,0.024,0.059815,0.06275,0.002935,4.9067
sg13g2_IOPadIn,pad->p2c,slew,rise,0.12,0.031448,0.070266,0.073088,0.002823,4.0171
sg13g2_IOPadIn,pad->p2c,slew,rise,0.12,0.038897,0.080716,0.083427,0.00271,3.3579
